Artist,Subgenre
Darkthrone,"[""black 'n' roll"", 'black metal', 'blackened crust', 'metal', 'norwegian black metal', 'norwegian death metal', 'norwegian metal']"
Darkwood,"['martial industrial', 'neofolk']"
Darlan,['pagode novo']
Darlene Zschech,"['ccm', 'christian music', 'classic praise', 'world worship', 'worship']"
Darlingside,"['boston folk', 'folk-pop', 'indie folk', 'new england americana']"
Darmec,['german dark minimal techno']
Darol Anger,"['bluegrass fiddle', 'jazz violin', 'mandolin', 'progressive bluegrass']"
Darol Anger's Republic of Strings,['bluegrass fiddle']
Darondo,"['afrobeat', 'funk', 'traditional soul']"
Darque,"['south african deep house', 'south african house', 'south african soulful deep house']"
Darrel Higham,"['neo-rockabilly', 'uk rockabilly']"
Darrel Higham & The Enforcers,"['neo-rockabilly', 'uk rockabilly']"
Darrell McCall,"['classic country pop', 'deep contemporary country', 'honky tonk']"
Darrell Rhodes,['traditional rockabilly']
Darrell Scott,['progressive bluegrass']
Darrell Webb,"['bluegrass', 'mandolin']"
Darrell Webb Band,"['bluegrass', 'mandolin']"
Darrelle London,"[""canadian children's music""]"
Darren Porter,"['progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
Darren Styles,"['happy hardcore', 'hardcore techno']"
Darren Tate,['deep progressive trance']
Darryl Lenox,"['deep comedy', 'new comedy']"
Darshan Ambient,"['ambient fusion', 'deep ambient']"
Darshan Raval,"['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']"
Darude,"['eurodance', 'finnish edm']"
Darwin,['deep happy hardcore']
Darwin Deez,['british indie rock']
Darwin Hobbs,['gospel']
Daryl Hall & John Oates,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']"
Das Ding,"['dutch experimental electronic', 'minimal wave', 'proto-techno']"
Das EFX,"['east coast hip hop', 'hardcore hip hop']"
Das Hamburger Ensemble,['german show tunes']
Das Lumpenpack,['german ska']
Das Racist,['comedy rap']
Dash Berlin,"['big room', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance', 'uplifting trance']"
Dashboard Confessional,"['emo', 'neon pop punk', 'pop punk', 'pop rock']"
Dashdot,['brazilian edm']
Daso,['german techno']
Dasoul,['electro latino']
Dastic,"['big room', 'pop edm']"
Dasychira,"['deconstructed club', 'experimental electronic']"
Datach'i,"['braindance', 'breakcore', 'deep idm', 'drill and bass', 'intelligent dance music', 'modular synth']"
Datacrashrobot,['abstract idm']
Datarock,"['alternative dance', 'bergen indie', 'dance-punk', 'new rave']"
Datassette,"['braindance', 'deep idm', 'intelligent dance music']"
Datavenia,"['brazilian heavy metal', 'metal gaucho']"
Datin,"['christian hip hop', 'christian trap', 'gospel rap']"
Datis,['persian sad rap']
Dato' DJ Dave,"['classic malaysian pop', 'rock kapak']"
Dato' M. Nasir,['classic malaysian pop']
Dato' Sri Siti Nurhaliza,"['classic malaysian pop', 'malaysian pop']"
Dato' Sudirman,['classic malaysian pop']
Datsik,"['breakbeat', 'brostep', 'canadian electronic']"
Datuk Ahmad Jais,['classic malaysian pop']
Datuk Sharifah Aini,['classic malaysian pop']
Daughters,"['experimental rock', 'noise rock', 'post-hardcore', 'rhode island indie']"
Daughtry,"['alternative metal', 'neo mellow', 'pop rock', 'post-grunge']"
Dauwd,"['ambient house', 'electronica', 'float house', 'future garage', 'microhouse', 'wonky']"
Dave,['uk hip hop']
Dave Allison,['deep funk house']
Dave Attell,"['comedy', 'new comedy']"
Dave Barnes,"['acoustic pop', 'neo mellow']"
Dave Brockie Experience,['comedy rock']
Dave Brubeck,"['american modern classical', 'bebop', 'cool jazz', 'jazz', 'jazz piano']"
Dave Chamberlain,['contemporary vocal jazz']
Dave Chappelle,"['black comedy', 'comedy']"
Dave Clarke,"['acid house', 'minimal techno', 'techno']"
"Dave Dee, Dozy, Beaky, Mick & Tich",['british invasion']
Dave East,"['harlem hip hop', 'nyc rap', 'rap', 'trap']"
Dave Edmunds,"['british blues', 'power pop', 'pub rock', 'rockabilly']"
Dave Grohl,"['alternative rock', 'rock drums']"
Dave Hemstad,['canadian comedy']
Dave Hillyard,['traditional ska']
Dave Holland,"['british jazz', 'contemporary jazz', 'contemporary post-bop', 'ecm-style jazz', 'jazz', 'jazz double bass', 'library music']"
Dave Koz,"['jazz saxophone', 'smooth jazz', 'smooth saxophone']"
Dave Lee,"['chicago house', 'deep house', 'disco house']"
Dave London,"['breakbeat', 'nu skool breaks']"
Dave Martone,"['metal guitar', 'neo classical metal']"
Dave Mason,"['british blues', 'country rock', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'southern rock', 'yacht rock']"
Dave Matthews Band,"['jam band', 'neo mellow', 'pop rock']"
Dave Neven,['progressive trance']
Dave Rawlings Machine,"['alternative country', 'folk', 'new americana', 'progressive bluegrass', 'roots rock']"
Dave Seaman,"['classic progressive house', 'deep techno', 'tech house', 'tribal house']"
Dave Sheinin,['modern power pop']
Dave Stewart,"['new wave pop', 'rock keyboard']"
Dave Waite,"['deep comedy', 'new comedy']"
Dave Wong,"['c-pop', 'classic mandopop']"
Daveed Diggs,"['alternative hip hop', 'show tunes']"
Davey Asprey,"['progressive trance', 'trance', 'uplifting trance']"
Davi Kneip,"['funk bh', 'funk consciente', 'funk mtg']"
Davi Moraes,['nova mpb']
Davi Sacer,['brazilian gospel']
David Allan Coe,"['country', 'outlaw country']"
David Arden,['contemporary classical piano']
David Arkenstone,['new age']
David Arnold,"['british soundtrack', 'soundtrack']"
David Benedict,"['mandolin', 'neo-traditional bluegrass']"
David Bisbal,"['latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock']"
David Bowie,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']"
David Broaders,['progressive trance']
David Brookings,"['modern power pop', 'underground power pop']"
David Brookings and the Average Lookings,"['modern power pop', 'underground power pop']"
David Buckley,"['british soundtrack', 'soundtrack']"
David Byrne,"['art pop', 'art punk', 'art rock', 'permanent wave', 'solo wave']"
David Calzado y su Charanga Habanera,"['charanga', 'modern salsa', 'salsa cubana', 'timba']"
David Cedeño,['salsa international']
David Crosby,"['british blues', 'cosmic american', 'country rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter']"
David Cross,['comedy']
David Crowder Band,"['ccm', 'christian alternative rock', 'christian music', 'worship']"
David Crowe,['clean comedy']
David Daniels,"['classical countertenor', 'opera']"
David Eugene Edwards,['gothic americana']
David Forbes,"['progressive trance', 'trance', 'uplifting trance']"
David Francey,"['canadian celtic', 'canadian folk', 'canadian singer-songwriter']"
David Fray,"['classical performance', 'classical piano', 'french classical piano']"
David Grahame,['underground power pop']
David Gravell,"['deep uplifting trance', 'progressive house', 'progressive uplifting trance', 'trance', 'uplifting trance']"
David Greilsammer,"['classical piano', 'israeli classical piano']"
David Grier,"['instrumental bluegrass', 'progressive bluegrass']"
David Grisman,"['bluegrass', 'instrumental bluegrass', 'jam band', 'jamgrass', 'jazz violin', 'mandolin', 'progressive bluegrass']"
David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
David Hazeltine,['modern jazz piano']
David Healer,['piano cover']
David Helpling,"['deep ambient', 'organic ambient']"
David Hicken,['new age piano']
David Hillyard & The Rocksteady Seven,"['ska jazz', 'ska revival', 'traditional ska']"
David Holmes,"['big beat', 'trip hop']"
David Huang,['classic mandopop']
David Huntsberger,"['deep comedy', 'new comedy']"
David Huntsinger,['piano cover']
David J,['modern country pop']
David Jakobs,['german show tunes']
David Jeremiah,"[""children's story""]"
David Kada,"['merengue', 'modern salsa', 'salsa']"
David Kushner,['gen z singer-songwriter']
David Landau,"[""children's folk""]"
David Lanz,"['new age', 'new age piano']"
David Lee Murphy,"['contemporary country', 'country', 'country road']"
David Lee Roth,"['album rock', 'classic rock', 'glam metal', 'hard rock']"
David Lui,"['c-pop', 'classic cantopop', 'classic mandopop']"
David Lynch,"['dark ambient', 'dark jazz', 'montana indie']"
David Meece,"['deep christian rock', 'jesus movement']"
David Meli,"['dancehall', 'nigerian pop']"
David Morris,['modern country pop']
David Myhr,"['modern power pop', 'underground power pop']"
David Myles,"['canadian folk', 'canadian singer-songwriter']"
David Nail,"['contemporary country', 'country road', 'modern country rock']"
David Nevue,"['instrumental worship', 'new age piano']"
David Pabon,['salsa']
David Penn,"['deep house', 'disco house', 'funky tech house', 'house', 'tribal house', 'vocal house']"
David Phelps,['southern gospel']
David Pryde,"['deep comedy', 'new comedy']"
David Puentez,['progressive electro house']
David Quijada,['electro latino']
David Quinlan,"['adoracao', 'brazilian gospel']"
David Ramirez,"['acoustic pop', 'austin americana', 'indie folk', 'new americana']"
David Ruffin,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul']"
David Russell,"['classical guitar', 'guitarra clasica']"
David Ryan Harris,['acoustic pop']
David Sanborn,"['jazz funk', 'jazz saxophone', 'smooth jazz', 'smooth saxophone']"
David Santos,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
David Schnaufer,"['instrumental bluegrass', 'mountain dulcimer', 'old-time', 'string folk']"
David Spade,['comedy']
David Sylvian,"['ambient pop', 'art pop', 'art rock', 'experimental rock', 'fourth world', 'melancholia', 'solo wave', 'sophisti-pop']"
David Tao,"['chinese r&b', 'mandopop', 'taiwan pop', 'taiwan singer-songwriter']"
David Tyree,['black comedy']
David Versailles,['reggaeton chileno']
David WS,['sambass']
David Wahler,['new age']
David Wilcox,"['canadian blues', 'classic canadian rock']"
David Y Abraham,['salsa cristiana']
David Zinman,"['classical performance', 'orchestral performance']"
David Zowie,"['deep groove house', 'house', 'uk house']"
David e Richard,['sertanejo gospel']
Davide Sonar,"['classic hardstyle', 'euphoric hardstyle']"
Davido,"['afrobeats', 'afropop', 'azontobeats', 'ghanaian hip hop', 'nigerian pop']"
Davis Bravo,['salsa urbana']
Davis John Patton,['ambient folk']
Davizinho,['pagode novo']
Davodka,"['french hip hop', 'rap conscient']"
Davol,['new age']
Davolee,"['afrobeats', 'nigerian hip hop', 'nigerian pop']"
Dawen Wang,['mandopop']
Dawer X Damper,['urbano latino']
Dawes,"['indie folk', 'modern folk rock', 'new americana', 'stomp and holler']"
Dawn,"['melodic black metal', 'swedish black metal']"
Dawn Of Ashes,"['aggrotech', 'industrial black metal', 'industrial metal']"
Dawn Ray'd,"['british black metal', 'rabm']"
Dawn Vally,['canadian metalcore']
Dawn Wall,"['liquid funk', 'uk dnb']"
Dawn Well,['background piano']
Dawn of Demise,"['brutal death metal', 'danish death metal', 'danish metal']"
Dawn of Destiny,"['fallen angel', 'german metal', 'gothic symphonic metal', 'symphonic metal', 'symphonic power metal']"
Dawn of Ouroboros,['progressive black metal']
Dawnfire,"['euphoric hardstyle', 'hardstyle']"
Dax,"['canadian hip hop', 'ottawa rap']"
Daxson,['progressive trance']
Day Aches,"['american shoegaze', 'grungegaze']"
Day Din,"['german trance', 'progressive psytrance', 'psychedelic trance']"
Day Peace,['new comedy']
Day e Lara,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
Daya,['pop']
Dayang Nurfaizah,['malaysian pop']
Dayangku Intan,"['classic malaysian pop', 'rock kapak']"
Dayglow,"['austindie', 'indie rock', 'pov: indie']"
Daylight Dies,"['doom metal', 'funeral doom', 'gothic doom', 'gothic metal', 'melodic death metal', 'north carolina metal']"
Dayme y El High,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
Dayne S,['german house']
Dayo Bello,['british soul']
Days N Daze,"['acoustic punk', 'folk punk', 'texas punk']"
Days Of Hate,"['brazilian grindcore', 'noisecore']"
Days Of The New,"['alternative metal', 'grunge', 'nu metal', 'post-grunge']"
Days to Waste,['emo rap']
Dayseeker,['metalcore']
Dayshell,"['metalcore', 'nu-metalcore', 'post-screamo']"
DayumDahlia,['anime rap']
Daz Dillinger,"['g funk', 'west coast rap']"
Dazaranha,"['brazilian reggae', 'musica catarinense']"
Dazz Band,"['classic soul', 'disco', 'funk', 'motown', 'p funk', 'post-disco', 'quiet storm', 'soul']"
Dazzo,"['brazilian edm', 'trance brasileiro']"
Daïtshi,['deep tropical house']
Dbstf,"['dutch house', 'progressive electro house', 'sky room']"
De Doelleazen,"['friese muziek', 'nederlandse hardstyle']"
De Hofnar,"['deep tropical house', 'tropical house']"
De Kraaien,['nederlandse hardstyle']
De La Ghetto,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
De La Muerte,['italian heavy metal']
De La Rose,['urbano latino']
De La Soul,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap']"
De La Tierra,"['argentine heavy metal', 'latin metal']"
De Mangueira,['samba-enredo']
De Mi Sangre,['argentine heavy metal']
De Moi,['ambient guitar']
De Mosselman,['happy hardcore']
De Mu,['malayalam cover']
De Nachtbrakers,['nederlandse hardstyle']
De Sfeermakers,"['carnaval', 'nederlandse hardstyle']"
De-Phazz,"['downtempo', 'electro jazz', 'jazztronica', 'nu jazz', 'trip hop']"
DeAnne Smith,"['canadian comedy', 'comedienne']"
DeBarge,"['contemporary r&b', 'funk', 'quiet storm', 'r&b', 'urban contemporary']"
DeJ Loaf,"['detroit hip hop', 'r&b', 'rap', 'southern hip hop', 'trap', 'trap queen']"
DeLand,['chill guitar']
Deablo,"['jamaican dancehall', 'riddim']"
Dead And Divine,"['canadian metal', 'canadian post-hardcore']"
Dead Astronauts,"['experimental dubstep', 'synthwave']"
Dead Bronco,['spanish rockabilly']
Dead By Sunrise,['electronic rock']
Dead Cells,['modern goth']
Dead Congregation,"['black death', 'greek metal', 'new wave of osdm', 'voidgaze']"
Dead Crown,"['american metalcore', 'portland metal']"
Dead Eyed Spider,['japanese heavy metal']
Dead Fish,"['brazilian hardcore', 'brazilian punk', 'brazilian rock', 'hard rock brasileiro']"
Dead Ghosts,"['canadian garage rock', 'canadian psychedelic rock', 'garage pop', 'indie garage rock', 'neo-psychedelic', 'vancouver punk']"
Dead Girls Academy,['metalcore']
Dead Hollywood Stars,['abstract idm']
Dead Infection,"['deathgrind', 'goregrind', 'grindcore']"
Dead Kennedys,"['alternative rock', 'early us punk', 'hardcore punk', 'punk']"
Dead Kosmonaut,['swedish heavy metal']
Dead Like Juliet,['italian metalcore']
Dead Man's Eyes,['indie psychedelic rock']
Dead Meadow,"['modern blues rock', 'neo-psychedelic', 'space rock', 'stoner rock']"
Dead Moon,"['garage rock', 'portland punk', 'punk blues']"
Dead Poet Society,"['boston indie', 'modern alternative rock']"
Dead Posey,"['modern alternative rock', 'rebel blues']"
Dead Prez,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hardcore hip hop', 'political hip hop']"
Dead Quiet,"['canadian stoner rock', 'vancouver metal', 'vancouver punk']"
Dead Rituals,['grungegaze']
Dead To Fall,"['deathcore', 'melodic metalcore']"
Dead To Me,"['orgcore', 'skate punk']"
Dead Vibrations,"['psych gaze', 'swedish psychedelic rock']"
Dead Voices On Air,"['ambient industrial', 'ambient trance', 'british experimental']"
Dead When I Found Her,"['ebm', 'electro-industrial', 'futurepop', 'industrial metal']"
Dead by April,"['swedish alternative rock', 'swedish metalcore', 'trancecore']"
Dead in the Dirt,"['atlanta metal', 'chaotic hardcore', 'grindcore', 'powerviolence']"
Dead/Awake,"['deathcore', 'metallic hardcore', 'progressive deathcore']"
DeadStar Assembly,['industrial metal']
Deadbeat,"['canadian electronic', 'dub techno', 'microhouse', 'minimal techno']"
Deadbolt,"['gothabilly', 'psychobilly']"
Deadlife,['depressive black metal']
Deadlock,"['cyber metal', 'german melodeath', 'german metalcore', 'melodic death metal']"
Deadly Guns,"['frenchcore', 'uptempo hardcore']"
Deadman Dance,['grunge brasileiro']
Deadspace,"['australian black metal', 'depressive black metal', 'emotional black metal']"
Deadsy,['industrial metal']
Deaf Center,"['ambient', 'compositional ambient', 'drone', 'norwegian experimental', 'nu age']"
Deaf Havana,"['british alternative rock', 'east anglia indie', 'modern alternative rock']"
Deaf Kev,['gaming edm']
Deaf Radio,"['greek metal', 'greek psychedelic rock', 'greek rock']"
Deafcult,"['australian shoegaze', 'brisbane indie', 'dreamo', 'grungegaze', 'nu gaze', 'shoegaze']"
Deafheaven,"['atmospheric black metal', 'blackened screamo', 'blackgaze', 'emotional black metal', 'post-metal', 'usbm']"
Deal Casino,"['asbury park indie', 'dance rock', 'new jersey indie']"
Deal's Gone Bad,"['ska', 'ska punk', 'ska revival', 'traditional ska']"
Dealer,"['australian post-hardcore', 'deathcore', 'metallic hardcore', 'nu-metalcore']"
Deals Death,"['gothenburg metal', 'melodic death metal', 'swedish melodeath']"
Dean Beard,['traditional rockabilly']
Dean Blunt,"['collage pop', 'experimental pop', 'uk experimental electronic']"
Dean Brody,"['canadian contemporary country', 'canadian country', 'country road']"
Dean Demir,['background piano']
Dean Dyson,['acoustic cover']
Dean Evenson,"['chakra', 'healing', 'high vibe', 'meditation']"
Dean Lewis,['australian pop']
Dean Martin,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
Deana Carter,"['country', 'country dawn', 'country road']"
Deangelo Silva,['piano mpb']
Deanie Ip,['classic cantopop']
Deano Yipadee,"[""nz children's music""]"
Deap Vally,['garage rock']
Dear Gravity,['ambient worship']
Dear Jane,['cantopop']
Dear Nora,"['lo-fi', 'tape club', 'twee pop']"
Dear Seattle,"['aussie emo', 'australian garage punk']"
Death,"['black punk', 'detroit rock', 'protopunk']"
Death Angel,"['death metal', 'metal', 'old school thrash', 'thrash metal']"
Death By Stereo,"['melodic hardcore', 'skate punk']"
Death Cab for Cutie,"['alternative rock', 'chamber pop', 'indie rock', 'indietronica', 'modern rock', 'seattle indie', 'washington indie']"
Death Cult,"['deathrock', 'gothic rock']"
Death Decline,['french death metal']
Death From Above 1979,"['canadian rock', 'dance-punk', 'garage rock', 'indietronica', 'modern alternative rock', 'modern rock']"
Death Grips,"['experimental hip hop', 'industrial hip hop']"
Death Hawks,"['finnish indie', 'finnish psychedelic rock']"
Death In June,"['british industrial', 'gothic rock', 'industrial', 'martial industrial', 'neofolk']"
Death In June & Boyd Rice,"['martial industrial', 'neofolk']"
Death In Rome,"['martial industrial', 'neofolk']"
Death In Vegas,"['big beat', 'electronica', 'techno', 'trip hop']"
Death Lens,"['action rock', 'socal indie', 'surf punk']"
Death Of Guitar Pop,"['essex indie', 'ska revival']"
Death Therapy,"['christian hardcore', 'christian metal', 'christian rock']"
Death Toll 80K,['grindcore']
DeathbyRomy,"['alt z', 'dark pop', 'modern indie pop']"
Deathhammer,"['black speed metal', 'black thrash']"
Deathless Legacy,['italian heavy metal']
Deathlike Silence,"['finnish heavy metal', 'melodic metal']"
Deathpact,['dark clubbing']
Deathprod,"['ambient industrial', 'drone', 'mandible', 'nordic ambient', 'norwegian experimental', 'norwegian psychedelic', 'sound art']"
Deathrite,"['german grindcore', 'saxony metal']"
Deathspell Omega,"['avant-garde black metal', 'black metal', 'dissonant death metal', 'french black metal', 'french metal', 'technical black metal', 'voidgaze']"
Deathstars,"['cyber metal', 'gothic metal', 'industrial metal']"
Deathtune,['iranian metal']
Deauxnuts,['lo-fi jazzhop']
Deb Never,['modern indie pop']
Deb Talan,"['boston folk', 'ectofolk']"
Debashish Bhattacharya,"['hindustani classical', 'hindustani instrumental', 'indian classical']"
Debauchery,"['german death metal', 'german metal']"
Debbie Brukman,"[""children's folk""]"
Debbie Doo,"[""australian children's music"", ""preschool children's music""]"
Debbie Turner,['show tunes']
Debi Derryberry,"[""children's folk""]"
Debit,"['deconstructed club', 'electra', 'experimental ambient', 'experimental techno', 'mexican experimental', 'spectra']"
Debora Gurgel,['piano mpb']
Deborah Cox,"['canadian pop', 'contemporary r&b', 'r&b', 'urban contemporary', 'vocal house']"
Deborah Lukalu,"['african gospel', 'congolese gospel']"
Deborah Vasconcellos,['samba moderno']
Deborah de Luca,"['electra', 'italian techno']"
Debra DiGiovanni,"['canadian comedy', 'deep comedy']"
Debra Laws,"['disco', 'post-disco']"
Deca,"['jazz rap', 'nyc rap']"
Decalius,['depressive black metal']
Decapitated,"['brutal death metal', 'death metal', 'deathgrind', 'groove metal', 'metal', 'polish death metal', 'polish metal', 'technical death metal', 'technical groove metal', 'thrash metal']"
Decayer,"['deathcore', 'metallic hardcore', 'progressive deathcore', 'slamming deathcore']"
Deceits,['modern goth']
December Avenue,"['opm', 'pinoy pop punk']"
Deceptic,['gothenburg metal']
Decimate,"['dubstep', 'gaming dubstep', 'tearout']"
Declan McKenna,['pov: indie']
Decoded Feedback,"['aggrotech', 'ebm', 'electro-industrial', 'futurepop', 'industrial metal']"
Decrepit Birth,"['brutal death metal', 'death metal', 'grindcore', 'technical death metal']"
Dedboii Kez,['anime rap']
Dede Sabunge,['kids hip hop']
Dedekind Cut,"['ambient', 'deconstructed club', 'drone', 'new isolationism', 'outsider house']"
Dedim Gouveia,['forro']
Dee Clark,"['chicago soul', 'doo-wop', 'rhythm and blues']"
Dee Dee Sharp,"['classic girl group', 'classic soul', 'doo-wop', 'motown', 'philly soul', 'rhythm and blues', 'southern soul']"
Dee Felice Trio,['rare groove']
DeeWunn,['dancehall colombiano']
Deeds of Flesh,"['brutal death metal', 'cosmic death metal', 'death metal', 'grindcore', 'technical death metal']"
Deee-Lite,['hip house']
Deejay Biene,['partyschlager']
Deejay Matze,"['discofox', 'partyschlager']"
Deekline,"['breakbeat', 'ragga jungle']"
Deekline & Wizard,"['breakbeat', 'nu skool breaks']"
Deen Burbigo,['french hip hop']
Deena Abdelwahed,"['arab electronic', 'arab experimental', 'deconstructed club', 'electra', 'fluxwork']"
Deenis,['hardstyle']
Deep Chills,['deep tropical house']
Deep Dimension,['industrial techno']
Deep Dish,"['classic progressive house', 'disco house', 'diva house', 'tribal house']"
Deep Forest,"['healing', 'new age']"
Deep Impact,"['breakbeat', 'nu skool breaks', 'psybreaks']"
Deep Jahi,"['dancehall', 'jamaican dancehall']"
Deep Kontakt,['german trance']
Deep Matter,['deep groove house']
Deep Ng,['cantopop']
Deep October,['emo rap']
Deep Purple,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']"
Deep Red,['grungegaze']
Deep Sleep Systems,['healing']
Deep Sound Effect,['groove room']
Deep as Ocean,"['deep metalcore', 'italian metalcore', 'metalcore']"
DeepDelic,['brazilian edm']
Deepack,"['classic hardstyle', 'euphoric hardstyle', 'rawstyle']"
Deepak Pandit,['indian instrumental']
Deepak Rathore Project,['indian indie']
Deepanshu Ruhela,['indian lo-fi']
Deepbass,"['ambient techno', 'hypnotic techno', 'minimal dub', 'scottish techno']"
Deepchord,"['dub techno', 'intelligent dance music', 'microhouse']"
Deepend,"['deep house', 'deep tropical house', 'tropical house']"
Deeper,['sambass']
Deeper & Pacific,['sambass']
Deeperise,"['turkish deep house', 'turkish pop']"
Deepfield,"['gymcore', 'hard alternative', 'post-grunge']"
Deepjack,['groove room']
Deepscale,['groove room']
Deer Tick,"['alternative country', 'modern folk rock', 'new americana', 'rhode island indie', 'stomp and holler']"
Deerhoof,"['bay area indie', 'experimental indie rock', 'experimental pop', 'experimental rock', 'noise pop', 'noise rock']"
Deerhunter,"['alternative rock', 'art pop', 'atlanta indie', 'dream pop', 'experimental rock', 'indie rock', 'lo-fi', 'neo-psychedelic', 'neo-synthpop', 'noise pop', 'noise rock', 'shoegaze']"
Deetox,"['classic hardstyle', 'euphoric hardstyle', 'rawstyle']"
Deetron,"['minimal tech house', 'swiss techno', 'techno']"
Deez Nuts,['melodic hardcore']
Def Leppard,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'nwobhm', 'rock']"
Def Squad,"['hardcore hip hop', 'hip hop']"
Def Will,['japanese dance pop']
Default,"['alternative metal', 'canadian rock', 'post-grunge']"
Defayo,['christian afrobeat']
Defeated Sanity,"['brutal death metal', 'death metal', 'german death metal', 'grindcore', 'technical death metal']"
Defeater,"['alternative emo', 'boston hardcore', 'dreamo', 'emo', 'melodic hardcore', 'modern melodic hardcore']"
"Defiance, Ohio","['acoustic punk', 'columbus ohio indie', 'folk punk']"
Definition,['melodic techno']
Defis,['classic disco polo']
Defkhan,['turkish hip hop']
Defra,"['rap cristiano', 'reggaeton cristiano']"
Deftones,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']"
Degos & Re-Done,"['classic hardstyle', 'euphoric hardstyle', 'rawstyle']"
Degree,"['dancehall', 'old school dancehall', 'riddim']"
Degs,"['liquid funk', 'uk dnb']"
Dehd,"['bubblegrunge', 'surf punk']"
Dehumanizing Itatrain Worship,['slam death metal']
Dei V,"['trap latino', 'urbano latino']"
Deibeat,"['breakbeat', 'psybreaks']"
Deicide,"['black metal', 'brutal death metal', 'death metal', 'florida death metal', 'metal', 'technical death metal']"
Deidre Goodwin,['show tunes']
Deitrick Haddon,['gospel']
Deixestar,['pagode novo']
Deke Dickerson,['rockabilly']
Del Amitri,"['britpop', 'melancholia', 'new wave pop', 'scottish rock']"
Del B,"['afrobeats', 'igbo pop', 'nigerian pop']"
Del McCoury,"['bluegrass', 'progressive bluegrass']"
Del McCoury and the Dixie Pals,['bluegrass gospel']
Del Shannon,"['doo-wop', 'rock-and-roll', 'rockabilly']"
Del The Funky Homosapien,"['alternative hip hop', 'hip hop', 'oakland hip hop']"
Del Water Gap,"['deep new americana', 'indie pop', 'pov: indie']"
Del Wood,"['honky-tonk piano', 'old west']"
Delain,"['dutch metal', 'gothic metal', 'gothic symphonic metal', 'power metal', 'symphonic metal']"
Delaney & Bonnie,"['british blues', 'country rock', 'southern rock', 'swamp rock']"
Delaney Bailey,['gen z singer-songwriter']
Delaney Jane,"['alt z', 'canadian electropop']"
Delarosa And Asora,['deep idm']
Delayscape,['abstract idm']
Delbert McClinton,"['classic texas country', 'country rock', 'electric blues', 'harmonica blues', 'modern blues', 'southern rock']"
Delcio Carvalho,"['samba', 'samba moderno']"
Delcio Luiz,"['pagode', 'samba moderno']"
Dele Sosimi,['afrobeat']
Delegation,['post-disco']
Delerium,['gregorian dance']
Delia Fischer,['piano mpb']
Delicate Steve,"['new jersey indie', 'shimmer pop']"
Delicatessen,['contemporary vocal jazz']
Delilah Montagu,['british singer-songwriter']
Deliluh,"['canadian post-punk', 'canadian psychedelic rock']"
Delina,['kids hip hop']
Delino Marçal,"['adoracao', 'brazilian gospel']"
Delius,"['euphoric hardstyle', 'hardstyle', 'rawstyle']"
Deliverance,"['christian death metal', 'christian metal', 'christian thrash metal', 'finnish heavy metal', 'old school thrash']"
Della,['mandopop']
Della Mae,"['nashville singer-songwriter', 'neo-traditional bluegrass', 'progressive bluegrass']"
Delley & Dorivan,['sertanejo tradicional']
Dellmon,['groove room']
Delly Benson,['haitian gospel']
Delly Ranx,"['dancehall', 'deep ragga', 'old school dancehall', 'riddim']"
Delomar,['jamaican dancehall']
Delroy Wilson,"['lovers rock', 'reggae', 'rocksteady', 'roots reggae']"
Delta 88,"['neo-rockabilly', 'uk rockabilly']"
Delta 9,"['doomcore', 'industrial hardcore', 'speedcore']"
Delta Deez,['anime rap']
Delta Funktionen,"['acid techno', 'dub techno', 'minimal dub', 'outsider house', 'techno']"
Delta Heavy,"['brostep', 'drum and bass']"
Delta Nus,['show tunes']
Delta Sleep,"['brighton indie', 'british math rock', 'math pop', 'math rock']"
Delta Spirit,"['modern folk rock', 'piano rock', 'stomp and holler']"
Deluxe,"['electro swing', 'french indie pop']"
Deluzion,"['euphoric hardstyle', 'rawstyle']"
Delvon Lamarr Organ Trio,['instrumental funk']
Demarco,"['bongo flava', 'dancehall', 'jamaican dancehall', 'reggae fusion']"
Demarkus Lewis,"['deep funk house', 'deep house', 'soulful house']"
Demdike Stare,"['deconstructed club', 'drone', 'dub techno', 'hauntology', 'intelligent dance music']"
Demented Scumcats,"['gothabilly', 'psychobilly']"
Demet Akalın,['turkish pop']
